日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-07,300287,5.08,4.67,5.38,4.67,1086879,534741701.0,12.16,-20.03,-1.17,8.29
2025-04-08,300287,4.65,4.87,5.08,4.65,1103877,540058812.0,9.21,4.28,0.2,8.42
2025-04-09,300287,4.81,5.14,5.18,4.37,1312133,639067244.0,16.63,5.54,0.27,10.01
2025-04-10,300287,5.28,5.32,5.51,5.25,1142693,615806511.0,5.06,3.5,0.18,8.72
2025-04-11,300287,5.18,5.38,5.47,5.1,872361,467347207.0,6.95,1.13,0.06,6.66
2025-04-14,300287,5.46,5.46,5.59,5.4,735657,403615191.0,3.53,1.49,0.08,5.61
2025-04-15,300287,5.46,5.41,5.52,5.36,557000,302338950.0,2.93,-0.92,-0.05,4.25
2025-04-16,300287,5.36,5.27,5.41,5.16,527779,278644601.0,4.62,-2.59,-0.14,4.03
2025-04-17,300287,5.24,5.21,5.33,5.2,419156,220793052.0,2.47,-1.14,-0.06,3.2
2025-04-18,300287,5.24,5.25,5.31,5.17,434228,227234237.0,2.69,0.77,0.04,3.31
2025-04-21,300287,5.26,5.44,5.44,5.18,565199,303447649.0,4.95,3.62,0.19,4.31
2025-04-22,300287,5.41,5.34,5.5,5.31,550013,296033477.0,3.49,-1.84,-0.1,4.2
2025-04-23,300287,5.39,5.39,5.48,5.32,575927,311074426.0,3.0,0.94,0.05,4.39
2025-04-24,300287,5.4,5.11,5.4,5.1,720648,374170125.0,5.57,-5.19,-0.28,5.5
2025-04-25,300287,5.14,5.07,5.2,5.07,508313,260331096.0,2.54,-0.78,-0.04,3.88
2025-04-28,300287,5.06,5.05,5.29,5.01,825265,424201284.0,5.52,-0.39,-0.02,6.3
2025-04-29,300287,5.02,5.1,5.16,4.97,546379,278291335.0,3.76,0.99,0.05,4.17
2025-04-30,300287,5.11,5.25,5.36,5.11,759829,399744862.0,4.9,2.94,0.15,5.8
2025-05-06,300287,5.34,5.57,5.59,5.34,1020845,560994100.0,4.76,6.1,0.32,7.79
2025-05-07,300287,5.72,5.55,5.75,5.46,854934,475744963.0,5.21,-0.36,-0.02,6.52
2025-05-08,300287,5.52,5.64,5.7,5.48,784854,440852460.0,3.96,1.62,0.09,5.99
2025-05-09,300287,5.86,5.67,6.08,5.65,1787597,1036151904.0,7.62,0.53,0.03,13.64
2025-05-12,300287,5.6,5.71,5.74,5.56,967171,546552911.0,3.17,0.71,0.04,7.38
2025-05-13,300287,5.76,5.57,5.79,5.55,754210,427452066.0,4.2,-2.45,-0.14,5.75
2025-05-14,300287,5.55,5.67,5.74,5.55,661134,373384492.0,3.41,1.8,0.1,5.04
2025-05-15,300287,5.62,5.44,5.64,5.42,625623,343187090.0,3.88,-4.06,-0.23,4.77
2025-05-16,300287,5.47,5.41,5.48,5.37,406056,219949151.0,2.02,-0.55,-0.03,3.1
2025-05-19,300287,5.42,5.49,5.5,5.33,488766,265928104.0,3.14,1.48,0.08,3.73
2025-05-20,300287,5.49,5.56,5.6,5.4,543081,299660450.0,3.64,1.28,0.07,4.14
2025-05-21,300287,5.54,5.39,5.55,5.38,523373,283983029.0,3.06,-3.06,-0.17,3.99
2025-05-22,300287,5.36,5.31,5.42,5.29,382042,203880779.0,2.41,-1.48,-0.08,2.91
2025-05-23,300287,5.32,5.18,5.36,5.17,437269,230190329.0,3.58,-2.45,-0.13,3.34
2025-05-26,300287,5.17,5.28,5.32,5.17,371474,195659520.0,2.9,1.93,0.1,2.83
2025-05-27,300287,5.27,5.22,5.28,5.19,294678,153925007.0,1.7,-1.14,-0.06,2.25
2025-05-28,300287,5.24,5.17,5.26,5.13,314368,162760154.0,2.49,-0.96,-0.05,2.4
2025-05-29,300287,5.21,5.43,5.43,5.18,838015,448861825.0,4.84,5.03,0.26,6.39
2025-05-30,300287,5.39,5.22,5.41,5.2,545583,287393357.0,3.87,-3.87,-0.21,4.16
2025-06-03,300287,5.22,5.23,5.38,5.2,453204,239901098.0,3.45,0.19,0.01,3.46
2025-06-04,300287,5.22,5.25,5.28,5.2,371287,194682420.0,1.53,0.38,0.02,2.83
2025-06-05,300287,5.25,5.48,5.54,5.22,973172,523936937.0,6.1,4.38,0.23,7.42
