日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-14,833533,37.13,37.53,38.65,36.98,49905,245650173.38,4.58,2.85,1.04,13.43
2025-04-15,833533,37.7,40.01,40.62,36.92,74633,378855023.74,9.86,6.61,2.48,20.09
2025-04-16,833533,39.15,38.18,39.76,37.26,49210,246996214.55,6.25,-4.57,-1.83,13.24
2025-04-17,833533,37.8,37.23,38.6,37.23,38695,190979378.62,3.59,-2.49,-0.95,10.41
2025-04-18,833533,37.0,37.37,37.76,36.42,33998,165199232.24,3.6,0.38,0.14,9.15
2025-04-21,833533,36.55,39.23,40.62,36.23,59621,299996722.14,11.75,4.98,1.86,16.05
2025-04-22,833533,38.85,37.53,39.29,37.51,35237,176405397.0,4.54,-4.33,-1.7,9.48
2025-04-23,833533,38.85,40.92,43.69,38.85,103333,556208966.19,12.9,9.03,3.39,27.81
2025-04-24,833533,41.35,40.38,43.31,39.92,72808,395459007.09,8.28,-1.32,-0.54,19.59
2025-04-25,833533,40.2,39.75,42.19,39.5,48636,257765399.66,6.66,-1.56,-0.63,13.09
2025-04-28,833533,39.45,37.82,40.11,37.69,37215,188195936.58,6.09,-4.86,-1.93,10.02
2025-04-29,833533,36.39,38.04,38.98,36.39,35807,178016554.05,6.85,0.58,0.22,9.64
2025-04-30,833533,38.05,40.83,42.08,37.71,61848,324045510.68,11.49,7.33,2.79,16.64
2025-05-06,833533,41.98,42.12,42.75,40.82,56458,308764664.47,4.73,3.16,1.29,15.19
2025-05-07,833533,43.62,41.63,43.98,40.86,51021,280176020.47,7.41,-1.16,-0.49,13.73
2025-05-08,833533,41.26,41.8,42.62,41.26,37778,206521807.89,3.27,0.41,0.17,10.17
2025-05-09,833533,42.16,39.95,42.22,39.78,37535,198757188.43,5.84,-4.43,-1.85,10.1
2025-05-12,833533,41.0,42.51,42.66,40.89,62450,342786986.13,4.43,6.41,2.56,16.81
2025-05-13,833533,44.08,41.28,44.38,41.2,50334,278158835.96,7.48,-2.89,-1.23,13.55
2025-05-14,833533,41.38,41.46,41.76,40.62,33181,178021717.72,2.76,0.44,0.18,8.93
2025-05-15,833533,41.73,40.44,41.73,40.35,30066,160435834.26,3.33,-2.46,-1.02,8.09
2025-05-16,833533,40.23,40.62,41.62,40.0,34969,186857354.5,4.01,0.45,0.18,9.41
2025-05-19,833533,40.85,39.21,40.85,38.68,37795,193665503.26,5.34,-3.47,-1.41,10.17
2025-05-20,833533,39.31,39.25,39.56,38.68,30146,153600210.76,2.24,0.1,0.04,8.11
2025-05-21,833533,39.38,38.5,39.5,38.46,24509,124366374.87,2.65,-1.91,-0.75,6.6
2025-05-22,833533,38.54,37.27,39.22,36.92,33830,167142026.46,5.97,-3.19,-1.23,9.1
2025-05-23,833533,37.22,37.31,38.69,36.95,33266,164215296.62,4.67,0.11,0.04,8.95
2025-05-26,833533,37.14,37.45,37.91,36.68,22769,110216364.73,3.3,0.38,0.14,6.13
2025-05-27,833533,37.38,37.57,38.22,37.31,19841,97542267.72,2.43,0.32,0.12,5.34
2025-05-28,833533,38.19,37.88,38.9,37.8,32203,123227496.68,2.93,0.83,0.31,6.67
2025-05-29,833533,37.59,39.34,39.57,37.59,42026,163870190.71,5.23,3.85,1.46,8.7
2025-05-30,833533,38.96,37.98,39.95,37.68,33430,128815120.74,5.77,-3.46,-1.36,6.92
2025-06-03,833533,37.77,37.81,38.28,37.1,23277,87698640.94,3.11,-0.45,-0.17,4.82
2025-06-04,833533,38.16,37.91,38.55,37.67,20080,76175433.47,2.33,0.26,0.1,4.16
2025-06-05,833533,37.9,37.18,37.93,36.2,43048,159715675.2,4.56,-1.93,-0.73,8.91
2025-06-06,833533,37.18,36.05,37.54,35.81,38121,138372894.24,4.65,-3.04,-1.13,7.89
2025-06-09,833533,35.65,36.2,36.53,35.59,28295,101947457.66,2.61,0.42,0.15,3.97
2025-06-10,833533,36.2,37.98,38.2,35.3,57023,210576572.41,8.01,4.92,1.78,8.01
2025-06-11,833533,38.17,39.15,39.78,37.6,70753,275660786.29,5.74,3.08,1.17,9.94
