日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-07,300342,15.49,13.4,15.82,13.4,280765,403043499.0,14.43,-20.1,-3.37,6.72
2025-04-08,300342,13.72,14.02,14.49,13.54,232994,328220603.0,7.09,4.63,0.62,5.58
2025-04-09,300342,13.89,14.83,14.94,12.94,261932,375042678.0,14.27,5.78,0.81,6.27
2025-04-10,300342,15.21,15.04,15.53,15.03,200492,307211281.0,3.37,1.42,0.21,4.8
2025-04-11,300342,14.95,15.36,15.81,14.84,203473,314742589.0,6.45,2.13,0.32,4.87
2025-04-14,300342,15.58,15.39,15.73,15.34,156340,243608030.0,2.54,0.2,0.03,3.74
2025-04-15,300342,15.25,15.23,15.53,15.05,103982,159327704.0,3.12,-1.04,-0.16,2.49
2025-04-16,300342,15.16,14.84,15.42,14.58,118057,176629066.0,5.52,-2.56,-0.39,2.83
2025-04-17,300342,14.79,14.77,15.12,14.72,97990,146900511.0,2.7,-0.47,-0.07,2.35
2025-04-18,300342,14.82,15.24,15.47,14.74,194777,295912886.0,4.94,3.18,0.47,4.66
2025-04-21,300342,15.15,15.69,15.69,15.09,168466,261999579.0,3.94,2.95,0.45,4.03
2025-04-22,300342,15.54,15.58,15.67,15.4,131703,205528453.0,1.72,-0.7,-0.11,3.15
2025-04-23,300342,15.86,16.04,16.08,15.64,234567,373001197.0,2.82,2.95,0.46,5.62
2025-04-24,300342,15.74,15.55,15.96,15.23,286940,446210850.0,4.55,-3.05,-0.49,6.87
2025-04-25,300342,15.52,15.68,15.76,15.26,196390,306154910.0,3.22,0.84,0.13,4.7
2025-04-28,300342,15.59,15.13,15.68,15.12,143541,221193416.0,3.57,-3.51,-0.55,3.44
2025-04-29,300342,15.11,15.38,15.53,15.04,125167,193082331.0,3.24,1.65,0.25,3.0
2025-04-30,300342,15.47,15.65,15.82,15.44,138482,217519006.0,2.47,1.76,0.27,3.31
2025-05-06,300342,15.79,16.06,16.06,15.76,144064,230867365.0,1.92,2.62,0.41,3.45
2025-05-07,300342,16.39,16.25,16.49,16.02,206177,336848222.0,2.93,1.18,0.19,4.94
2025-05-08,300342,16.32,16.92,16.99,16.19,329760,551252597.0,4.92,4.12,0.67,7.89
2025-05-09,300342,17.45,17.19,17.79,16.89,612023,1063338818.0,5.32,1.6,0.27,14.65
2025-05-12,300342,16.75,17.82,17.98,16.75,487127,857015407.0,7.16,3.66,0.63,11.66
2025-05-13,300342,17.73,17.07,17.73,17.0,330520,572893501.0,4.1,-4.21,-0.75,7.91
2025-05-14,300342,17.04,16.77,17.08,16.67,190648,321509095.0,2.4,-1.76,-0.3,4.56
2025-05-15,300342,17.45,16.54,17.61,16.52,235368,400685785.0,6.5,-1.37,-0.23,5.63
2025-05-16,300342,16.4,16.4,16.8,16.35,163281,270159498.0,2.72,-0.85,-0.14,3.91
2025-05-19,300342,16.54,16.57,16.63,16.23,121650,200623882.0,2.44,1.04,0.17,2.91
2025-05-20,300342,16.5,16.56,16.62,16.35,125379,206675307.0,1.63,-0.06,-0.01,3.0
2025-05-21,300342,16.7,16.36,16.85,16.32,127467,210440586.0,3.2,-1.21,-0.2,3.05
2025-05-22,300342,16.2,16.09,16.54,16.05,124732,203153538.0,3.0,-1.65,-0.27,2.99
2025-05-23,300342,15.8,15.38,15.85,15.37,196135,305749240.0,2.98,-4.41,-0.71,4.7
2025-05-26,300342,15.37,15.62,15.68,15.32,86168,134084473.0,2.34,1.56,0.24,2.06
2025-05-27,300342,15.63,15.72,15.96,15.41,134133,209946106.0,3.52,0.64,0.1,3.21
2025-05-28,300342,15.62,15.43,15.8,15.36,89040,138228641.0,2.8,-1.84,-0.29,2.13
2025-05-29,300342,15.4,15.87,16.0,15.38,144360,228392668.0,4.02,2.85,0.44,3.46
2025-05-30,300342,15.78,15.99,16.17,15.69,174211,277975542.0,3.02,0.76,0.12,4.17
2025-06-03,300342,15.99,16.15,16.45,15.95,168882,273428204.0,3.13,1.0,0.16,4.04
2025-06-04,300342,16.17,16.23,16.68,16.15,169298,277233444.0,3.28,0.5,0.08,4.05
2025-06-05,300342,16.2,16.72,16.98,16.08,315218,527021427.45,5.55,3.02,0.49,7.55
