日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-09,600715,1.9,1.95,1.97,1.84,332795,63242116.0,6.7,0.52,0.01,1.25
2025-04-10,600715,2.05,2.05,2.05,2.04,81878,16784722.0,0.51,5.13,0.1,0.31
2025-04-11,600715,2.08,2.08,2.13,2.06,345110,72043395.0,3.41,1.46,0.03,1.3
2025-04-14,600715,2.12,2.12,2.13,2.09,205223,43421241.0,1.92,1.92,0.04,0.77
2025-04-15,600715,2.11,2.18,2.21,2.11,304978,66029578.0,4.72,2.83,0.06,1.15
2025-04-16,600715,2.17,2.17,2.21,2.15,202061,43889336.0,2.75,-0.46,-0.01,0.76
2025-04-17,600715,2.18,2.28,2.28,2.18,469232,105955405.0,4.61,5.07,0.11,1.76
2025-04-18,600715,2.27,2.34,2.34,2.24,505098,115247767.0,4.39,2.63,0.06,1.9
2025-04-21,600715,2.34,2.33,2.36,2.3,266487,62123166.0,2.56,-0.43,-0.01,1.0
2025-04-22,600715,2.34,2.39,2.43,2.34,406168,96419859.0,3.86,2.58,0.06,1.53
2025-04-23,600715,2.38,2.36,2.41,2.35,244413,57814478.0,2.51,-1.26,-0.03,0.92
2025-04-24,600715,2.39,2.39,2.42,2.36,243711,58099866.0,2.54,1.27,0.03,0.92
2025-04-25,600715,2.39,2.35,2.44,2.31,449700,107371121.0,5.44,-1.67,-0.04,1.69
2025-04-28,600715,2.34,2.25,2.35,2.24,388893,88537446.0,4.68,-4.26,-0.1,1.46
2025-04-29,600715,2.27,2.36,2.36,2.26,369872,86080872.0,4.44,4.89,0.11,1.39
2025-05-06,600715,2.36,2.5,2.6,2.26,1858330,446286790.0,14.41,5.93,0.14,6.98
2025-05-07,600715,2.46,2.44,2.56,2.42,1095608,271302056.0,5.6,-2.4,-0.06,4.12
2025-05-08,600715,2.44,2.39,2.45,2.36,732052,174881952.0,3.69,-2.05,-0.05,2.75
2025-05-09,600715,2.4,2.32,2.42,2.31,492797,115650707.0,4.6,-2.93,-0.07,1.85
2025-05-12,600715,2.33,2.36,2.37,2.32,501579,117728789.0,2.16,1.72,0.04,1.88
2025-05-13,600715,2.36,2.32,2.38,2.32,470870,110616826.0,2.54,-1.69,-0.04,1.77
2025-05-14,600715,2.31,2.31,2.33,2.28,350648,80879155.0,2.16,-0.43,-0.01,1.32
2025-05-15,600715,2.3,2.27,2.31,2.27,331312,75630684.0,1.73,-1.73,-0.04,1.24
2025-05-16,600715,2.27,2.27,2.31,2.25,275904,62602612.0,2.64,0.0,0.0,1.04
2025-05-19,600715,2.28,2.32,2.39,2.27,502453,117255782.0,5.29,2.2,0.05,1.89
2025-05-20,600715,2.3,2.35,2.37,2.29,407375,95028394.0,3.45,1.29,0.03,1.53
2025-05-21,600715,2.34,2.31,2.35,2.3,225115,52163109.0,2.13,-1.7,-0.04,0.85
2025-05-22,600715,2.3,2.26,2.32,2.25,266675,60753524.0,3.03,-2.16,-0.05,1.0
2025-05-23,600715,2.25,2.22,2.27,2.21,259045,58007714.0,2.65,-1.77,-0.04,0.97
2025-05-26,600715,2.24,2.27,2.28,2.22,240681,54071252.0,2.7,2.25,0.05,0.9
2025-05-27,600715,2.26,2.27,2.27,2.24,126257,28482088.0,1.32,0.0,0.0,0.47
2025-05-28,600715,2.27,2.3,2.32,2.24,285138,65110663.0,3.52,1.32,0.03,1.07
2025-05-29,600715,2.3,2.3,2.32,2.27,171958,39579793.0,2.17,0.0,0.0,0.65
2025-05-30,600715,2.31,2.31,2.35,2.29,312119,72314726.0,2.61,0.43,0.01,1.17
2025-06-03,600715,2.3,2.33,2.38,2.28,390999,91410021.0,4.33,0.87,0.02,1.47
2025-06-04,600715,2.33,2.36,2.39,2.33,451022,106527805.0,2.58,1.29,0.03,1.69
2025-06-05,600715,2.36,2.31,2.37,2.3,334263,77788913.0,2.97,-2.12,-0.05,1.26
2025-06-06,600715,2.33,2.41,2.54,2.31,1257642,305781108.0,9.96,4.33,0.1,4.72
