序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,430017,星昊医药,25.23,27.49,5.44,265346.0,640255424.59,30.87,25.72,19.61,19.71,19.79,3.95,21.85,30.81,1.97,30.85,3063373617.0,0.0,-0.63,51.53,82.69
2,873305,九菱科技,58.85,24.37,11.53,78037.0,421756424.0,21.32,60.0,49.91,50.0,47.32,1.89,21.51,152.15,11.73,38.17,2134912690.0,-0.42,0.94,102.03,216.23
3,300995,奇德新材,42.28,20.01,7.05,71788.0,290539196.15,15.33,42.28,36.88,38.38,35.23,3.16,11.98,219.19,5.77,35.58,2532774141.0,0.0,0.0,132.95,169.99
4,688068,热景生物,163.68,20.0,27.28,51040.0,766959104.0,23.59,163.68,131.51,134.1,136.4,1.58,5.51,-158.01,5.08,151.74,15174435619.0,0.42,1.04,80.84,164.68
5,300255,常山药业,52.09,20.0,8.68,700170.0,3482831913.32,18.57,52.09,44.03,44.46,43.41,1.62,7.64,3164.08,30.57,478.74,47718486560.0,0.0,0.0,155.34,160.58
6,300804,广康生化,56.7,20.0,9.45,72977.0,389579341.61,20.53,56.7,47.0,47.0,47.25,0.75,26.54,61.31,3.13,41.96,1559250000.0,0.0,0.0,129.18,151.33
7,300584,海辰药业,41.06,19.99,6.84,261496.0,1018704147.5,16.01,41.06,35.58,36.0,34.22,1.63,31.85,81.92,4.8,49.27,3371646868.0,0.0,0.0,108.11,104.69
8,300149,睿智医药,11.65,19.98,1.94,710381.0,778134049.63,19.46,11.65,9.76,9.9,9.71,0.72,14.29,218.35,4.75,58.01,5791033388.0,0.0,0.0,73.36,81.46
9,300493,润欣科技,23.93,18.7,3.77,1263662.0,2900050304.33,17.41,24.19,20.68,21.91,20.16,5.99,25.22,241.47,10.95,122.66,11988763615.0,-0.42,-0.42,-4.32,-14.93
10,300061,旗天科技,14.12,17.86,2.14,1085571.0,1488442240.62,16.11,14.38,12.45,12.45,11.98,5.32,17.49,821.92,16.78,93.05,8762021072.0,-0.28,-1.81,-1.19,9.46
11,301137,哈焊华通,38.2,17.83,5.78,238396.0,824472039.44,18.57,38.5,32.48,32.81,32.42,1.5,23.44,282.32,5.09,69.45,3885008760.0,1.73,4.26,110.47,118.66
